"Var_1","Var_2","Var_3","Var_4","Var_5","CLUSTER"
1,2,2,4,7,3
1,2,2,4,6,3
2,2,2,3,2,1
1,2,2,4,6,3
1,2,2,4,6,3
1,1,2,4,7,3
1,2,2,4,6,3
1,1,1,3,5,1
4,1,4,2,3,2
1,2,2,4,6,3
4,1,4,2,2,2
1,2,2,4,6,3
1,2,2,4,7,3
3,1,3,2,5,2
1,2,3,4,2,1
2,2,2,4,1,1
3,1,4,4,1,2
1,2,2,4,6,3
1,2,2,3,3,1
1,2,2,3,4,1
3,1,5,2,3,2
1,2,2,4,6,3
3,1,4,2,5,2
1,2,2,4,4,1
1,2,2,4,4,1
1,2,2,4,6,3
4,1,4,3,1,2
1,2,2,4,6,3
1,2,2,4,6,3
3,1,4,2,3,2
4,1,3,3,1,2
4,1,4,2,3,2
4,1,4,1,4,2
1,2,2,4,6,3
1,2,2,4,4,1
2,1,1,3,2,1
1,1,1,4,5,1
1,2,2,4,7,3
1,1,2,4,6,3
1,2,2,4,6,3
2,2,1,2,5,1
4,1,4,3,2,2
1,2,2,3,4,1
4,1,4,2,4,2
1,2,2,4,6,3
3,1,4,1,5,2
1,2,2,4,6,3
3,1,5,3,1,2
4,1,4,2,3,2
2,2,5,1,7,2
4,1,4,2,3,2
1,2,1,3,5,1
3,1,4,2,4,2
4,1,3,2,5,2
2,1,1,2,5,1
1,2,2,4,7,3
3,1,4,2,4,2
2,1,1,4,2,1
1,2,2,4,6,3
1,1,1,3,5,1
1,1,1,3,7,1
1,2,2,4,6,3
1,2,2,4,7,3
1,2,2,4,3,1
3,1,4,2,5,2
1,1,2,4,4,1
1,2,2,4,6,3
1,2,2,3,4,1
3,1,4,1,6,2
1,2,2,3,4,1
2,2,2,3,1,1
3,2,5,1,3,2
1,2,2,3,3,1
1,2,2,4,6,3
1,2,2,4,6,3
1,2,2,4,6,3
1,2,2,4,6,3
3,1,5,2,4,2
1,2,2,4,7,3
4,1,4,2,3,2
1,1,1,3,4,1
2,2,1,2,3,1
1,2,2,4,7,3
1,2,2,4,4,1
3,2,4,1,6,2
1,2,2,3,4,1
1,2,2,4,6,3
3,1,4,3,2,2
2,2,2,2,4,1
3,1,4,2,4,2
3,1,5,2,2,2
1,2,2,4,6,3
1,2,2,4,3,1
1,2,2,4,6,3
1,2,1,2,5,1
3,1,2,2,6,2
2,1,1,2,4,1
3,1,4,1,5,2
3,1,5,2,3,2
1,1,1,3,4,1
4,1,3,2,4,2
3,1,3,1,7,2
3,1,4,3,2,2
1,1,2,4,3,1
1,2,2,4,4,1
1,1,1,3,5,1
4,1,3,1,6,2
1,2,3,4,2,1
2,2,3,4,1,1
3,2,4,1,7,2
1,2,2,4,6,3
1,2,1,3,6,1
2,2,2,3,3,1
4,1,3,2,5,2
3,1,3,2,5,2
1,2,3,3,3,1
1,2,3,4,2,1
4,1,4,3,2,2
1,2,2,4,7,3
1,1,2,4,3,1
1,2,2,4,7,3
1,2,2,4,6,3
1,1,1,3,4,1
3,1,4,2,5,2
1,2,2,4,6,3
1,2,2,4,6,3
1,2,2,4,6,3
3,1,4,1,6,2
3,1,4,3,2,2
4,1,4,3,1,2
1,2,2,4,6,3
4,1,3,3,2,2
1,1,1,3,5,1
1,2,2,4,6,3
1,2,2,4,6,3
1,2,2,4,6,3
1,2,2,4,6,3
3,1,4,2,4,2
2,2,1,2,4,1
3,1,5,2,4,2
1,2,2,4,6,3
3,1,4,2,4,2
1,2,2,4,6,3
1,2,2,3,4,1
4,1,5,2,3,2
1,2,2,4,7,3
1,1,1,3,6,1
1,2,2,3,3,1
1,2,2,4,6,3
1,1,1,4,4,1
4,2,5,4,4,999
4,2,5,4,4,999
4,2,5,4,4,999
4,2,5,4,4,999
4,2,5,4,4,999
4,2,5,4,4,999
4,2,5,4,4,999
4,2,5,4,4,999
