"Var_1","Var_2","Var_3","Var_4","Var_5","CLUSTER"
4,1,4,3,5,3
4,1,4,3,5,3
3,1,2,1,4,1
5,1,1,1,4,1
3,2,3,1,3,1
4,1,4,2,5,3
2,1,1,2,7,1
4,1,1,3,6,2
4,1,4,2,5,3
4,2,1,3,6,2
5,2,1,3,7,2
5,2,1,3,7,2
3,2,2,1,3,1
5,2,1,3,7,2
6,2,1,3,7,2
5,2,1,3,7,2
4,1,4,2,5,3
3,2,3,2,5,1
3,1,4,3,6,3
4,1,4,2,5,3
5,2,1,3,7,2
3,2,2,2,5,1
5,2,1,3,7,2
4,1,1,1,5,1
3,3,3,2,5,1
4,1,4,2,5,3
4,1,4,2,6,3
5,3,2,2,3,1
4,1,4,3,5,3
4,1,1,2,6,1
4,1,4,3,5,3
4,1,4,2,5,3
4,1,4,3,5,3
5,2,1,3,7,2
5,2,1,3,7,2
3,2,2,1,4,1
4,1,4,2,5,3
5,2,2,2,4,1
6,2,1,3,7,2
4,1,4,3,4,3
5,2,1,3,7,2
2,2,3,1,4,1
4,1,4,2,5,3
3,3,4,2,4,1
4,2,3,2,5,1
4,1,4,2,5,3
3,2,2,1,4,1
4,1,4,2,5,3
4,1,4,2,5,3
3,2,2,2,4,1
5,2,1,3,7,2
4,1,4,3,5,3
5,1,4,2,4,3
3,2,2,2,5,1
3,1,4,2,6,3
4,2,2,2,4,1
5,2,1,3,7,2
4,1,4,3,5,3
4,2,1,3,7,2
4,1,4,2,5,3
4,1,4,3,5,3
5,2,2,2,3,1
4,1,1,2,5,1
5,2,1,3,7,2
4,1,4,3,5,3
4,2,1,3,7,2
3,1,4,2,6,3
6,2,1,3,7,2
4,1,4,2,5,3
4,2,1,3,6,2
6,2,1,3,7,2
4,1,4,2,5,3
5,2,1,3,6,2
2,2,2,2,6,1
3,3,3,2,4,1
5,2,1,3,7,2
4,2,2,3,6,1
1,2,3,1,5,1
6,2,2,1,2,1
3,2,2,1,4,1
2,2,3,2,5,1
6,2,1,3,7,2
5,2,1,3,7,2
4,2,2,2,4,1
4,1,4,2,5,3
4,1,4,2,5,3
4,2,1,3,7,2
4,1,4,2,5,3
4,2,1,3,6,2
2,2,2,1,5,1
3,2,2,2,4,1
5,2,1,3,7,2
5,2,1,3,7,2
6,2,1,3,7,2
5,2,1,3,7,2
4,2,1,3,6,2
4,2,1,3,6,2
5,2,1,3,7,2
2,1,2,2,7,1
4,1,4,3,5,3
4,2,3,3,5,1
5,2,2,2,5,1
7,3,3,2,1,1
5,1,4,2,5,3
3,2,2,1,5,1
3,1,2,1,4,1
4,1,4,2,5,3
3,1,4,3,5,3
5,2,1,3,7,2
5,2,1,3,7,2
5,2,1,3,7,2
2,1,2,1,5,1
5,2,1,3,7,2
3,1,4,3,5,3
4,2,1,2,5,1
5,2,1,3,7,2
3,2,3,2,5,1
3,3,3,3,5,1
5,2,1,2,5,1
5,2,1,3,7,2
3,2,3,1,3,1
3,2,2,2,5,1
3,2,2,2,5,1
5,1,4,2,5,3
4,1,4,2,5,3
4,1,1,3,6,2
5,2,1,3,7,2
5,1,4,2,4,3
5,2,1,3,7,2
4,2,1,3,7,2
4,1,4,3,5,3
4,1,4,2,5,3
2,1,2,1,3,1
3,1,3,2,6,3
1,2,3,2,5,1
5,2,1,3,7,2
5,2,1,3,7,2
4,1,4,2,5,3
6,2,1,3,7,2
5,1,4,2,5,3
4,1,4,2,5,3
1,2,3,1,4,1
4,1,4,2,5,3
5,2,1,3,7,2
4,1,4,2,5,3
4,1,4,2,5,3
4,2,1,3,6,2
5,2,1,3,7,2
4,1,4,3,5,3
1,2,4,1,4,1
6,1,1,1,3,999
4,1,3,1,4,999
3,3,1,1,2,999
4,2,2,3,7,999
2,2,3,3,7,999
7,1,4,1,7,999
4,2,2,1,7,999
7,1,1,2,2,999
